scenario,state,buy_share,avg_delta,count
LowRates,KY,0.20105655686761964,24010.69105564727,85
LowRates,LA,0.19310919699916643,27002.63375371455,97
LowRates,MA,0.008262424466642002,127122.68554721939,178
LowRates,MD,0.21021952126999877,44821.498899346116,152
LowRates,ME,0.0,65893.94382142312,28
LowRates,MI,0.41390566345683044,13413.896059854678,207
LowRates,MN,0.07218683651804671,44204.256154593604,139
LowRates,MO,0.29308861485517634,19960.88879967057,158
LowRates,MS,0.35122838944494994,7514.867164902402,40
LowRates,MT,0.0,108886.01305137844,27
LowRates,NC,0.15787496242861437,45610.35074374561,230
LowRates,ND,0.0,51263.8370411632,17
LowRates,NE,0.13446475195822455,34050.34554422567,56
LowRates,NH,0.0,71252.69672306992,30
LowRates,NJ,0.07350665428659858,79590.3076463971,229
LowRates,NM,0.03008298755186722,39334.74671731586,38
LowRates,NV,0.030236992645055843,50668.01739100511,86
LowRates,NY,0.06667911841613747,163003.6602949609,363
LowRates,OH,0.3254756491563958,19757.395031834196,259
LowRates,OK,0.3794808405438813,10573.28397643972,101
LowRates,OR,0.0,99771.08474795261,122
LowRates,PA,0.28607642474884987,28683.727758541398,309
LowRates,RI,0.05855018587360595,65961.43913024364,33
LowRates,SC,0.20413699559172602,38153.14114544473,119
LowRates,SD,0.0,50992.11890229651,17
LowRates,TN,0.16439624388308424,50161.459205939216,146
LowRates,TX,0.2170550038197097,42086.60079356869,708
LowRates,UT,0.0,111580.80790340816,77
LowRates,VA,0.03749891746774054,69788.19661272579,206
LowRates,VT,0.0,53818.752877950436,9
LowRates,WA,0.003068862275449102,137103.48692299778,221
LowRates,WI,0.10839292435077155,43785.25725771567,117
LowRates,WV,0.17346938775510204,13354.624848013209,27
LowRates,WY,0.0,58748.15799392671,18
